Слово;Крюков;Шолохов
белый;1;1
 черный;2;2
 старый;3;26
 маленький;4;24
 новый;5;45
 большой;6;15
 молодой;7;17
 темный;9;31
 узкий;10;16
 хороший;11;64
 больший;12;22
 далекий;13;58
 чужой;14;6
 малый;15;63
 должный;16;32
 дорогой;18;13
 тихий;19;69
 долгий;20;3
 близкий;21;40
 толстый;22;54
 красный;24;7
 холодный;27;49
 родной;28;35
 широкий;29;43
 высокий;31;30
 легкий;32;94
 глухой;36;8
 теплый;38;73
 живой;42;61
 короткий;43;37
 тяжелый;44;19
 стоялый;45;77
 зеленый;46;33
 быстрый;47;55
 крепкий;48;56
 скорый;49;67
 похожий;50;70
 видный;54;36
 добрый;59;18
 твердый;60;81
 сухой;61;9
 последний;62;86
 седой;70;53
 густой;72;14
 редкий;77;68
 правый;78;42
 горячий;80;20
 голый;86;62
 ранний;88;23
 строгий;94;97
 видалый;97;51
 частый;100;28
