Слово;Крюков;Шолохов
нет;1;1
 еще;2;2
 очень;3;49
 опять;4;20
 узко;5;7
 уже;6;5
 мол;8;83
 все;9;28
 далеко;11;32
 совсем;12;86
 хорошо;13;66
 мало;15;81
 сразу;16;60
 вдруг;17;22
 долго;18;3
 больше;20;88
 скоро;21;41
 назад;23;21
 домой;25;13
 нельзя;26;78
 нынче;27;38
 рядом;28;8
 тихо;30;89
 впереди;31;94
 быстро;32;54
высоко;35;52
 чуть;36;26
 вперед;38;100
 иногда;40;90
 близко;41;27
 рано;42;15
 почти;44;98
 вместе;45;25
 легко;47;99
 слегка;50;40
 вниз;52;55
 неожиданно;60;68
 изредка;61;71
 широко;62;64
 едва;66;56
 трудно;68;62
 вверх;70;67
 строго;75;58
 давно;76;43
 пора;77;39
 вслед;78;42
 тяжело;81;23
 сзади;82;11
 твердо;87;65
 часто;92;19
громко;100;96
