Слово;Крюков;Шолохов
иза;1;4
голова;2;2
человек;3;29
голос;4;34
генерал;5;0
рука;6;5
глаз;7;6
мень;8;36
день;9;20
гора;10;30
казак;11;41
сестра;12;0
быль;13;0
душа;14;0
раз;15;90
сторона;16;80
нога;17;10
дом;18;48
год;19;24
лицо;20;28
доктор;21;0
деньга;22;79
солдат;23;0
дело;24;65
место;25;0
дорога;26;44
пот;27;33
слово;28;60
время;29;98
дина;30;0
арон;31;0
пол;32;17
стена;33;67
сердце;34;52
жизнь;35;0
час;36;0
хлеб;37;37
толпа;38;0
полк;39;0
ночь;40;22
народ;41;0
снег;42;0
улица;43;62
пря;44;0
слеза;45;0
свет;46;86
знакомый;47;0
уласенков;48;0
нима;49;0
вопрос;50;0
пуд;51;0
взгляд;52;0
баба;53;64
бог;54;99
лес;55;35
лошадь;56;39
офицер;57;0
цена;58;0
угол;59;0
товарищ;60;0
шинель;61;0
сила;62;0
часть;63;0
поле;64;0
старик;65;0
марин;66;0
группа;67;0
марина;68;0
берг;69;0
господь;70;0
станица;71;51
друг;72;0
порядок;73;0
перес;74;0
 сапог;75;0
 посол;76;0
 вид;77;0
 война;78;0
 родина;79;0
 ряд;80;0
 мир;81;0
 земля;82;13
 нос;83;0
 пан;84;59
 студент;85;0
 турок;86;0
 рубль;87;0
 брат;88;0
 ухо;89;0
 шаг;90;100
 ветер;91;54
 тема;92;0
 вода;93;12
 конец;94;97
 тон;95;0
 плечо;96;71
 утро;97;38
 правда;98;0
 отец;99;19
 господин;100;0
федор;0;1
 федора;0;3
 васька;0;7
 алешка;0;8
 алешок;0;9
 мать;0;11
 хозяин;0;14
 двор;0;15
 вечер;0;16
 ворота;0;18
 семка;0;21
 дверь;0;23
 митька;0;25
 дон;0;26
 митек;0;27
 губа;0;31
 захар;0;32
 кровь;0;40
 анна;0;42
 денисович;0;43
 плетень;0;45
 дед;0;46
 трофима;0;47
 бык;0;49
 работа;0;50
 палец;0;53
 рот;0;55
 крыльцо;0;56
 хата;0;57
 месяц;0;58
 пахомыч;0;61
 сын;0;63
 зуб;0;66
 илья;0;68
 грудь;0;69
 харч;0;70
 трофим;0;72
 парень;0;73
 ребята;0;74
 рубаха;0;75
 волос;0;76
 сарай;0;77
 солнце;0;78
 гумно;0;81
 окно;0;82
 лето;0;83
 след;0;84
 колено;0;85
 работник;0;87
 спина;0;88
 гришка;0;89
 зима;0;91
 рыбник;0;92
 степь;0;93
 стол;0;94
 игнат;0;95
 рота;0;96
" конец	";0;97
