Слово;Крюков;Шолохов
быть;1;1
 говорить;2;11
 сказать;3;5
 мочь;4;4
 становиться;5;14
 идти;6;3
 давать;7;26
 девать;8;8
 приходить;9;6
 проходить;10;13
 стоять;11;22
 глядеть;12;9
 знать;13;21
 видеть;14;15
 хотеть;15;18
 пойти;16;2
 спрашивать;17;12
 взять;18;28
 жить;19;7
 выходить;21;10
 уходить;22;24
 сидеть;23;19
 мыть;24;34
 думать;25;32
 бить;26;29
 ждать;27;74
 отвечать;28;60
 бросать;29;43
 подходить;30;16
 садить;34;42
 понимать;35;55
 тереть;39;46
 делать;40;80
 чувствовать;41;90
 держать;43;36
 останавливать;45;84
 лежать;46;25
 убивать;47;70
 стоить;49;44
 посылать;50;69
 начинать;51;63
 ходить;52;35
 слышать;55;39
 собирать;60;54
 брать;61;89
 бежать;66;40
 душить;67;76
 просить;68;59
 провожать;71;71
 весить;73;91
 вернуться;77;75
 увидеть;78;37
 смотреть;79;48
 доставать;81;100
 входить;86;50
 молчать;88;17
 снимать;89;56
 встречать;90;99
 работать;92;27
 спать;96;47
 ложиться;99;52
