,к,ш
автор (Aranea MIN),0.03,0.05
копирайтер (Aranea MIN),0,0
редактор (Aranea MIN),0,0.06
репортер (Aranea MIN),0.01,0.01
дизайнер (Aranea MIN),0,0.02
секретарь (Aranea MIN),0,2.18
блогер (Aranea MIN),0,0.05
оператор (Aranea MIN),0,0
продюсер (Aranea MIN),0,0
режиссер (Aranea MIN),0,0
автор (Aranea MAX),0.02,0.05
копирайтер (Aranea MAX),0,0
редактор (Aranea MAX),0,0.01
репортер (Aranea MAX),0,0.01
дизайнер (Aranea MAX),0,0.01
секретарь (Aranea MAX),0.01,2
блогер (Aranea MAX),0,0.04
оператор (Aranea MAX),0,0.01
продюсер (Aranea MAX),0,0
режиссер (Aranea MAX),0,0
автор (RNC),0.01,0.16
копирайтер (RNC),0,0
редактор (RNC),0,0.72
репортер (RNC),0,0.03
дизайнер (RNC),0,0.01
секретарь (RNC),0,09.08
блогер (RNC),0,0.02
оператор (RNC),0,0.03
продюсер (RNC),0,0.02
режиссер (RNC),0.01,0.06
